state,company,city,notice_date,layoff_date,employees_affected,closure_type,notes,NOTICE_DATE,JOB_SITE_NAME,COUNTY_NAME,WDA_NAME,TOTAL_LAYOFF_NUMBER,LayOff_Date,WFDD_RECEIVED_DATE,CITY_NAME
Texas,,,,,,,,06/04/2025,Eckerd Connects (David Carrasco Job Corps),El Paso,Borderplexjobs WDA,77.0,06/13/2025,06/04/2025,El Paso
Texas,,,,,,,,06/03/2025,Sunnova Energy Corporation,Harris,Gulf Coast WDA,,05/30/2025,06/03/2025,Houston
Texas,,,,,,,,06/03/2025,JC Penney (Allaince Supply Chain),Tarrant,Tarrant County WDA,296.0,08/01/2025,06/03/2025,Haslet
Texas,,,,,,,,07/30/2025,Trinity Rail-Trinity Tank Car-Jordan Valley,Gregg,East Texas WDA,170.0,09/30/2025,07/30/2025,Longview
Texas,,,,,,,,07/30/2025,"Equus Workforce Solutions Arlington (Arbor E&T, LLC)",Tarrant,North Central Texas WDA,4.0,09/30/2025,07/30/2025,Arlington
Texas,,,,,,,,07/30/2025,"Equus Workforce Solutions Denton (Arbor E&T, LLC)",Denton,North Central Texas WDA,27.0,09/30/2025,07/30/2025,Denton
Texas,,,,,,,,07/23/2025,Peraton Balloon Operations (NASA),Anderson,East Texas WDA,81.0,09/30/2025,07/23/2025,Palestine
Texas,,,,,,,,07/21/2025,SM Cargo,Harris,Gulf Coast WDA,194.0,09/21/2025,07/21/2025,Houston
Texas,,,,,,,,07/21/2025,Chevron Corporation (HESS Corporation),Harris,Gulf Coast WDA,575.0,09/26/2025,07/21/2025,Houston
Texas,,,,,,,,07/16/2025,"AMERICA, INC., d/b/a LIXIL",Tarrant,Tarrant County WDA,65.0,09/08/2025,07/16/2025,Grand Prairie
Texas,,,,,,,,07/10/2025,"Sodexo, Inc.and Affiliates (Texas Southern University)",Harris,Gulf Coast WDA,81.0,07/31/2025,07/10/2025,Houston
Texas,,,,,,,,07/10/2025,International Paper Company(N. Closner Blvd.),Hidalgo,Lower Rio Grande Valley WDA,66.0,09/01/2025,07/10/2025,Edinburg
Texas,,,,,,,,07/10/2025,International Paper Company(W. Chaplin),Hidalgo,Lower Rio Grande Valley WDA,66.0,09/01/2025,07/10/2025,Edinburg
Texas,,,,,,,,07/10/2025,International Paper Company(N. 26th),Hidalgo,Lower Rio Grande Valley WDA,5.0,09/01/2025,07/10/2025,Edinburg
Texas,,,,,,,,07/09/2025,"GI Alliance Management, LLC",Denton,Tarrant County WDA,25.0,09/01/2025,07/09/2025,Southlake
Texas,,,,,,,,07/09/2025,Intel Corporation,Travis,Capital Area WDA,110.0,07/15/2025,07/09/2025,Austin
Texas,,,,,,,,07/09/2025,Management & Training Corporation (Dominguez State Jail),Bexar,Alamo WDA,8.0,08/31/2025,07/09/2025,San Antonio
Texas,,,,,,,,07/09/2025,Management & Training Corporation (Gist State Jail),Jefferson,South East Texas WDA,6.0,08/31/2025,07/09/2025,Beaumont
Texas,,,,,,,,07/09/2025,Management & Training Corporation (Hutchins State Jail),Dallas,Dallas County WDA,8.0,08/31/2025,07/09/2025,Dallas
Texas,,,,,,,,07/09/2025,Management & Training Corporation (Lychner State Jail),Harris,Gulf Coast WDA,17.0,08/31/2025,07/09/2025,Humble
Texas,,,,,,,,07/09/2025,Management & Training Corporation (Plane State Jail),Liberty,Gulf Coast WDA,8.0,08/31/2025,07/09/2025,Dayton
Texas,,,,,,,,07/09/2025,Management & Training Corporation (Travis County State Jail),Travis,Capital Area WDA,4.0,08/31/2025,07/09/2025,Austin
Texas,,,,,,,,07/08/2025,"Movate, Inc. (AT&T Project)",Bell,Central Texas WDA,71.0,07/01/2025,07/08/2025,Temple
Texas,,,,,,,,07/02/2025,International Business Machines-Coppell,Dallas,Dallas County WDA,59.0,08/29/2025,07/02/2025,Coppell
Texas,,,,,,,,07/02/2025,Fed Ex Corporation (Garland),Dallas,Dallas County WDA,81.0,09/01/2025,07/02/2025,Garland
Texas,,,,,,,,07/02/2025,Santa Maria Hostel,Harris,Gulf Coast WDA,41.0,08/31/2025,07/02/2025,Houston
Texas,,,,,,,,07/02/2025,FedEx Corporation (Plano),Collin,North Central Texas WDA,50.0,09/01/2025,07/02/2025,Plano
Texas,,,,,,,,07/02/2025,Memorial Herman Health System Skilled Nursing Facility,Harris,Gulf Coast WDA,83.0,09/01/2025,07/02/2025,Houston
Texas,,,,,,,,07/02/2025,TT Electronics Facility IRC (Plano),Collin,North Central Texas WDA,75.0,08/31/2025,07/02/2025,Plano
Texas,,,,,,,,08/27/2025,MPW Services,Travis,Capital Area WDA,82.0,09/01/2025,08/27/2025,Austin
Texas,,,,,,,,08/20/2025,"Tech Werks, LLC (San Antonio)",Bexar,Alamo WDA,87.0,09/15/2025,08/20/2025,San Antonio
Texas,,,,,,,,08/18/2025,"Promises Behavioral Health, LLC",Hays,Rural Capital WDA,58.0,10/17/2025,08/18/2025,Wimberley
Texas,,,,,,,,08/13/2025,"CarOffer, LLC",Dallas,Dallas County WDA,101.0,10/06/2025,08/13/2025,Addison
Texas,,,,,,,,08/06/2025,UPS (Dallas Facility),Dallas,Dallas County WDA,62.0,08/05/2025,08/06/2025,Dallas
Texas,,,,,,,,08/06/2025,"Solarcycle, Inc.",Ector,Permian Basin WDA,70.0,10/06/2025,08/06/2025,Odessa
Texas,,,,,,,,08/06/2025,"Southwest Key Programs, Inc. (SWK National Headquarters)",Travis,Capital Area WDA,45.0,10/06/2025,08/06/2025,Austin
Texas,,,,,,,,08/06/2025,"Southwest Key Programs, Inc. La Esperanza)",Cameron,Cameron County WDA,4.0,10/05/2025,08/06/2025,Brownsville
Texas,,,,,,,,08/06/2025,"Southwest Key Programs, Inc.(Casa Nueva Esperanza)",Cameron,Cameron County WDA,9.0,10/05/2025,08/06/2025,Brownsville
