state,company,city,notice_date,layoff_date,employees_affected,closure_type,notes,Unnamed: 0,Worker Adjustment and Retraining Notification (WARN) List,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Oregon,,,,,,,,9017,"True Value Company, L.L.C.",Springfield,2024-12-14 00:00:00,98,Permanent closure,2024-10-15 00:00:00
Oregon,,,,,,,,8978,"Century Blvd., Hillsboro",Hillsboro,2024-11-15 00:00:00,514,Large Layoff - 10 or more workers,2024-10-15 00:00:00
Oregon,,,,,,,,8978,Aloha Facility,Aloha,2024-11-15 00:00:00,28,Large Layoff - 10 or more workers,2024-10-15 00:00:00
Oregon,,,,,,,,8978,"25th Ave., Hillsboro",Hillsboro,2024-11-15 00:00:00,634,Large Layoff - 10 or more workers,2024-10-15 00:00:00
Oregon,,,,,,,,8978,"Elam Young Pkwy., Hillsboro",Hillsboro,2024-11-15 00:00:00,124,Large Layoff - 10 or more workers,2024-10-15 00:00:00
Oregon,,,,,,,,8977,Cornerstone Building Brands,Tualatin,2024-12-20 00:00:00,76,Permanent closure,2024-10-15 00:00:00
Oregon,,,,,,,,8956,Hillsboro Worksite,Hillsboro,2024-11-25 00:00:00,150,Permanent closure,2024-09-26 00:00:00
Oregon,,,,,,,,8937,Oregon - Remote Employees,,2024-09-09 00:00:00,5,Reduction,2024-09-06 00:00:00
Oregon,,,,,,,,8937,"Lost Boys Interactive, LLC ","Madison, WI",2024-09-09 00:00:00,134,Large Layoff - 10 or more workers,2024-09-06 00:00:00
Oregon,,,,,,,,8911,Willamette Falls Paper Company,West Linn,2024-08-09 00:00:00,158,Large Layoff - 10 or more workers,2024-08-06 00:00:00
Oregon,,,,,,,,8892,Walker Rd - Hillsboro,"Hillsboro, ",2024-12-28 00:00:00,37,Large Layoff - 10 or more workers,2024-07-23 00:00:00
Oregon,,,,,,,,8892,Walker Rd - Hillsboro,"Hillsboro, ",2024-11-16 00:00:00,16,Large Layoff - 10 or more workers,2024-07-23 00:00:00
Oregon,,,,,,,,8892,Walker Rd - Hillsboro,"Hillsboro, ",2024-10-19 00:00:00,1,Reduction,2024-07-23 00:00:00
Oregon,,,,,,,,8892,Walker Rd - Hillsboro,"Hillsboro, ",2024-10-04 00:00:00,2,Reduction,2024-07-23 00:00:00
Oregon,,,,,,,,8892,Walker Rd - Hillsboro,"Hillsboro, ",2024-09-20 00:00:00,95,Permanent closure,2024-07-23 00:00:00
Oregon,,,,,,,,8880,Hazelnut Growers of Oregon,Aurora,2024-12-27 00:00:00,4,Permanent closure,2024-07-02 00:00:00
Oregon,,,,,,,,8880,Hazelnut Growers of Oregon,Aurora,2024-08-01 00:00:00,65,Large Layoff - 10 or more workers,2024-07-02 00:00:00
Oregon,,,,,,,,8876,OHSU,Portland,2024-08-30 00:00:00,297,Large Layoff - 10 or more workers,2024-07-01 00:00:00
Oregon,,,,,,,,8859,OHSU,Portland,2024-08-09 00:00:00,142,Large Layoff - 10 or more workers,2024-06-07 00:00:00
Oregon,,,,,,,,8850,Oregon - Remote Employees,Portland,2024-07-31 00:00:00,37,Large Layoff - 10 or more workers,2024-05-29 00:00:00
Oregon,,,,,,,,8847,"Campbell Soup Supply Company, LLC",Tualatin,2026-07-26 00:00:00,200,Large Layoff - 10 or more workers,2024-05-28 00:00:00
Oregon,,,,,,,,8847,"Campbell Soup Supply Company, LLC",Tualatin,2025-01-31 00:00:00,10,Large Layoff - 10 or more workers,2024-05-28 00:00:00
Oregon,,,,,,,,8847,"Campbell Soup Supply Company, LLC",Tualatin,2024-08-02 00:00:00,120,Large Layoff - 10 or more workers,2024-05-28 00:00:00
Oregon,,,,,,,,8832,Lignetics,Cascade Locks,2024-07-10 00:00:00,5,Reduction,2024-05-10 00:00:00
Oregon,,,,,,,,8832,Lignetics,Cascade Locks,2024-04-19 00:00:00,1,Reduction,2024-05-10 00:00:00
Oregon,,,,,,,,8832,Lignetics,Cascade Locks,2024-03-15 00:00:00,2,Reduction,2024-05-10 00:00:00
Oregon,,,,,,,,8817,Multnomah University,Portland,2024-06-30 00:00:00,88,Large Layoff - 10 or more workers,2024-05-07 00:00:00
Oregon,,,,,,,,8800,Portland Manufacturing Site,Portland,2024-06-28 00:00:00,75,Large Layoff - 10 or more workers,2024-04-22 00:00:00
Oregon,,,,,,,,8794,"NIKE, Inc.",Beaverton,2024-06-28 00:00:00,740,Reduction,2024-04-19 00:00:00
Oregon,,,,,,,,8782,"Block, Inc.","Oakland, CA",2024-06-03 00:00:00,20,Large Layoff - 10 or more workers,2024-04-02 00:00:00
Oregon,,,,,,,,8781,"Volta Charging Industries, LLC","San Francisco, CA",2024-05-31 00:00:00,171,Permanent closure,2024-03-29 00:00:00
Oregon,,,,,,,,8776,"Osso VR, Inc.","San Francisco, CA",2024-05-27 00:00:00,67,Large Layoff - 10 or more workers,2024-03-28 00:00:00
Oregon,,,,,,,,8769,"Bornstein Seafoods, Inc - Newport Facil",Newport,2024-05-21 00:00:00,50,Permanent closure,2024-03-22 00:00:00
